1.02531,-0.94281,-0,0,0.4111,1.12492,0.37422,-0.76727,-0,1.15109
-0.45171,-0.50892,0,1.03359,-0,-0.72221,0.78227,0.70198,-0.90331,-0
0.5755,-0.43355,-1.28671,0.16348,-0,-0.55707,0,0,0,1.00639
-1.23406,-0,0.12007,-0.81968,-1.14386,0.50221,0.33677,1.61589,-0.73173,0.12783
0,1.86162,-0.1758,0.02886,0.71826,0.14013,-0.38732,-0.27117,0,-0.83028
0,0.3327,-0,1.70674,-0.53539,-0.50139,0.40736,-0.08905,-0.55786,-0.15252
-0.57468,-0.07984,-0.79667,-0,0.42868,0,0.06053,0.01623,0.03296,-0.9665
-0,-1.59412,-0,0.20636,-0.29577,-0,0,-0.60319,-0.33872,0
0.20156,-2.08224,0.37454,1.07521,-0.20912,0.13889,0.75172,0.06431,-0.38754,-0.51495
-0.05221,1.10024,0.42451,0.2641,0,0.73201,0.01556,0,-0.18849,-0.78542
0.17171,-0.37623,-0.33692,-0.91297,0.64668,-0.21934,0.18067,0.38712,0.42497,0.37218
-0,-0.63988,-0.04706,-0,0,0.67556,0,-0.7578,0.8138,0.74637
-0.44899,-0.68765,0.36435,0.05594,-0.25073,-0,-0.83668,0.65018,-0.25296,-0
-1.68365,0.50538,0.47406,-0.2013,-0.62509,-0,-0.14946,0.45461,0.63056,-0.04314
-0,-0.25331,-0.21354,0,-0.37075,-0.65791,1.33723,0.37344,-0,-0
0,-1.06451,0,0,-0.05435,0,-1.42235,-0.3504,-1.83697,-0.5422
-0.9567,-0.36706,0,-0.28566,0.59229,1.22359,-0,0.22817,-0.05562,0.32311
0,-0.39254,-0.3578,0,0.78102,-0.12272,-0.14752,0,0.73776,0
-0.68434,-0,1.00641,-0,-0.59307,0.5731,-0,-1.21312,-0.35611,0.85727
0.67526,0.00343,-0.06016,0.32179,-0,0.67414,0,0.60771,0,0.00251
0,-0.0783,-0,-0.77388,-0.73072,-0,0.84033,-0.14135,-0.70814,0.82533
0,0.3926,-0.68118,-0.77308,0,-0,-0,0.58379,-0.64071,0.02012
0.09344,-0.31158,-0.41587,0,0.09079,-0.54434,0,0.42113,0,0.16123
0.10879,0.0228,-0,0,-0.3897,-0.1168,-0,0.33136,0.32235,-0.82158
-0.39728,-0.78655,-0.15675,0.47797,0.88584,-0.01286,0,0.47001,1.42604,0.10517
-0,-0.40879,1.52278,-0.6286,0,0,0,0.34162,0.48372,-0.59587
-0,-0.14298,0.04231,-0.22621,-0,0.9168,0,-0.62075,-0.00578,0.12178
-0,-0,0.09512,-0.14908,-0.17214,-1.89573,0.08027,0.39274,-0.72768,-0.79011
-1.10802,0.2135,-0,-0.11154,0.01695,-0.0422,1.61889,-0.16601,0.08054,-0.36951
-0.21987,-0.09698,-1.66982,0.64624,-0.35974,-0,-0.11758,-0,-0.52346,0
-0.77388,0,-1.60881,0.80456,0.31293,-0.11549,0,0.90219,0.74111,-0
0.64786,0,-0.74876,-0.43925,-0.30361,0.07726,1.4685,0.79189,0.19662,-0.24763
-0.44615,-0,1.17805,-0.37456,0,1.16642,-0.14969,0.30498,-0,0.46298
-0.02545,0.30333,1.0263,-0,-0.38147,-0.71217,-0.18805,-0.74653,0.50314,-1.06867
-0,-0.26304,-1.00908,-0,-0.03231,1.93031,-0,0,-0,-0.30772
0,0.00308,-0.26072,0.65649,0.7964,-0.49058,-0.1635,0,0.53679,-0
0,0.4391,-0.28456,-0.29518,-0,0.1483,-0.81943,0,0.95757,1.61891
-0.21794,-0.49279,0.08823,0.26949,-0.41832,0.37192,-0.29186,-0.20516,-1.55606,-0.74831
-1.46694,-0.14243,0.48907,0.63532,-0.50727,0.57125,-0,1.13399,0.01402,-0
-0,-0.06433,-0.14887,-0.05438,0.39877,0.30969,0.35304,1.23587,-0,-0.06734
0.26129,0,-1.20433,0.76029,-0.09953,1.88033,-0.0538,0.14755,0.39284,0.24152
-0.33482,-0.31127,0.18078,-0.15086,0.85536,0.03987,0.30889,0,-0.77439,-0.31091
0.20784,0.00922,-1.29644,0,0.57483,1.34795,0.73141,0.39586,0.38581,-0.54798
1.18994,-0.4137,0.36806,0,-0.24482,0.57562,0.63352,1.46851,-0,-0
-0.34484,0.19919,0.16069,0.81754,-0,-0.35937,0.10174,0.53961,0.83315,0.27057
-0,-0,-0,-0.18819,-0.00806,-0.99068,-0.02269,-0.1782,-0.06545,0
-1.30574,0.53819,0,0.40011,1.59029,0,-0.44088,0.94316,0.18147,-0.38575
0.13235,0.33736,-0.63658,0,0.68973,0.3733,-0.9861,-0.2257,-0,-0.4488
-0.82239,0,-0.50989,0.42235,-0.43838,-0,-0.07157,0.07966,-0,0.26455
-0.88679,-0.90472,-0.34031,1.44565,0.85416,-1.39538,-0.40695,-0.48154,0.87699,-0.32842
