0,-0,0,0.13879
-0.75309,1.40656,-0.00771,-0.0384
0.43616,0,0.02418,-2.04346
0,0,-0.7322,-0.40833
-0.55041,1.0081,0.25046,-0.01077
0.0354,-0.30278,0.11337,0.51793
-0.57057,-0.7596,0,-0.06
1.17875,-0.47033,0,-0
0.12191,-0,0.2255,-0.59185
0,-1.01386,-1.21265,-0.51739
-0.15255,0,-0,0.41949
0.26266,-0.32525,-0.38295,-0
-0,0.39131,-0.15617,0.59916
-1.63131,-0.60225,-0,-0.55009
0.1035,0.24734,1.09296,-0
-0.55605,-0.8401,-0,0.01688
0.05231,0.14859,0.87901,0.37504
0,-0.27538,0,-0.11473
-0.09008,-0,0,-0.4321
-0.94,-0.21735,0.31146,-0.1021
