0.09241,0.01317,0.01361,-0.00316,0.09336,-0.13947,-0.01727,-0.17359,-0.03323,0.08166,-0.11617,0.05688,-0.09893,-0.02736,0.07857,0.01442,0.02791,0.06316,-0.12474,-0.01314
0.10592,0.13758,-0.00559,-0.01282,0.05962,-0.06766,0.00066,0.1532,-0.18842,-0.01937,-0.11537,0.05219,0.10229,0.05464,0.10082,0.03917,0.13088,0.12035,0.12941,-0.06242
-0.0199,0.04236,0.23128,-0.0021,-0.09014,-0.0216,0.01569,0.03737,-0.00952,0.00336,-0.03459,0.06231,-0.0477,0.06659,-0.18028,-0.01248,3e-05,-0.01296,0.12874,-0.04457
-0.11601,-0.04137,0.0853,-0.04658,-0.03831,0.01296,-0.08283,-0.10058,-0.01797,-0.05463,-0.0014,0.0065,0.004,-0.0994,0.08092,0.05609,-0.00817,0.03942,-0.12706,0.09189
-0.07646,-0.00617,-0.04414,0.01595,0.12378,0.04166,0.06878,0.04328,0.10205,-0.13284,-0.19688,-0.01519,0.08973,0.14169,0.06778,0.00549,0.01578,0.04114,0.03498,-0.07266
-0.11314,-0.0715,-0.03317,-0.02949,-0.02045,0.16248,-0.00917,0.05418,0.03478,-0.06157,-0.00986,-0.02242,-0.02312,-0.16381,-0.02021,0.00263,0.00931,0.10757,0.1078,0.11938
-0.05523,0.12012,0.03228,-0.11606,-0.03041,-0.02886,-0.02513,0.08683,-0.05557,-0.03796,-0.01797,-0.03441,0.00032,-0.04153,0.0678,-0.07214,-0.06437,0.0104,-0.06404,0.01359
-0.09717,0.10936,-0.02281,-0.0566,0.15786,0.03294,-0.07012,0.03987,-0.07328,0.09207,0.16143,0.01851,0.05812,-0.04777,0.11817,0.04963,-0.04143,0.01972,0.07451,0.02499
0.0538,-0.10405,-0.08243,-0.03134,0.06991,0.0002,-0.14396,0.03035,0.31471,0.0003,0.04235,-0.00705,-0.02464,-0.01581,-0.02778,-0.15186,0.14206,0.02188,0.01782,-0.0277
0.02065,-0.06198,0.03688,0.07626,-0.01656,-0.05807,0.06454,-0.0146,-0.01186,0.00252,-0.07777,0.09778,0.09275,-0.0872,0.03565,-0.10306,0.08264,0.05277,-0.01303,-0.05245
-0.1311,-0.21571,-0.01306,0.10661,-0.03305,0.02145,0.02799,0.11223,-0.02891,-0.03327,0.0936,0.19013,0.00714,-0.08761,0.03998,-0.02031,-0.03716,0.01812,0.09757,-0.03115
-0.02402,-0.01803,0.16715,-0.0021,0.05768,0.02682,-0.03817,-0.02636,-0.01913,-0.03305,0.12278,0.13147,0.14201,0.08933,-0.09924,-0.04462,-0.00988,-0.15724,-0.05805,-0.04409
-0.1327,-0.02786,0.06261,-0.08341,0.11568,-0.00747,0.00117,-0.06934,-0.06598,-0.09304,-0.03236,-0.04844,-0.01062,0.07444,0.00588,0.05627,-0.0294,0.13009,0.06757,0.07514
-0.01889,0.1662,-0.02724,-0.10215,0.06662,-0.15441,0.01135,0.04473,0.08677,0.00993,-0.07897,0.10663,-0.04859,0.26635,0.08439,0.11121,0.09896,-0.00823,-0.0496,0.07746
0.06586,0.01315,-0.08144,0.03892,0.09988,-0.01528,0.09013,0.06108,-0.05632,-0.04569,0.01691,-0.14166,0.05353,0.13004,0.26386,-0.05546,-0.18221,-0.10965,-0.01022,-0.07005
0.02862,0.07512,-0.02276,0.08404,-0.02767,-0.02466,-0.00588,0.06812,-0.11442,-0.09911,-0.03294,0.00131,0.08421,0.0438,-0.0304,0.23497,0.06848,-0.03372,-0.06975,0.1295
0.04377,-0.02605,0.05703,0.0389,0.15149,0.0459,-0.0735,-0.12886,0.03104,0.05448,-0.04013,-0.00686,0.08625,0.08328,-0.12253,0.05995,0.18021,0.0364,-0.11269,0.0381
0.03214,0.08344,-0.0065,0.06375,0.04351,0.12612,0.04143,0.01098,0.02649,0.04713,-0.04627,-0.16748,0.12946,-0.01137,-0.1085,-0.01366,-0.0131,0.02419,-0.03905,-0.06497
-0.1285,0.18191,0.02063,0.02784,0.09873,0.12305,0.07837,0.04149,0.04682,0.07965,0.14544,0.0319,-0.00896,-0.09352,-0.00391,-0.00032,-0.04559,0.02142,-0.01365,-0.0406
0.03178,-0.02536,-0.10865,0.14746,-0.06175,0.05893,-0.03963,0.03393,-0.07656,-0.0077,0.02228,-0.02989,0.01099,0.04813,-0.07813,0.10131,0.07079,-0.07355,-0.01301,0.10404
